ft,at,sl,med,lanes,terrain,capacity
Collector,Suburban,40,NonRestrictive,1,level,850
Local,Suburban,40,NonRestrictive,1,level,800
Freeway,Rural,40,NonRestrictive,1,level,4145
MLHighway,Rural,40,NonRestrictive,1,level,3429
TLHighway,Rural,40,NonRestrictive,1,level,1249
PrArterial,Rural,40,NonRestrictive,1,level,1080
MinArterial,Rural,40,NonRestrictive,1,level,900
Collector,Rural,40,NonRestrictive,1,level,850
Local,Rural,40,NonRestrictive,1,level,800
Freeway,Urban,45,NonRestrictive,1,level,4262
MLHighway,Urban,45,NonRestrictive,1,level,3337
TLHighway,Urban,45,NonRestrictive,1,level,1249
PrArterial,Urban,45,NonRestrictive,1,level,1260
MinArterial,Urban,45,NonRestrictive,1,level,1080
Collector,Urban,45,NonRestrictive,1,level,750
Local,Urban,45,NonRestrictive,1,level,700
Freeway,Suburban,45,NonRestrictive,1,level,4203
MLHighway,Suburban,45,NonRestrictive,1,level,3288
TLHighway,Suburban,45,NonRestrictive,1,level,1249
PrArterial,Suburban,45,NonRestrictive,1,level,1080
MinArterial,Suburban,45,NonRestrictive,1,level,900
Collector,Suburban,45,NonRestrictive,1,level,850
Local,Suburban,45,NonRestrictive,1,level,800
Freeway,Rural,45,NonRestrictive,1,level,4145
MLHighway,Rural,45,NonRestrictive,1,level,3429
TLHighway,Rural,45,NonRestrictive,1,level,1249
PrArterial,Rural,45,NonRestrictive,1,level,1080
MinArterial,Rural,45,NonRestrictive,1,level,900
Collector,Rural,45,NonRestrictive,1,level,850
Local,Rural,45,NonRestrictive,1,level,800
Freeway,Urban,50,NonRestrictive,1,level,4262
MLHighway,Urban,50,NonRestrictive,1,level,3337
TLHighway,Urban,50,NonRestrictive,1,level,1249
PrArterial,Urban,50,NonRestrictive,1,level,1260
MinArterial,Urban,50,NonRestrictive,1,level,1080
Collector,Urban,50,NonRestrictive,1,level,750
Local,Urban,50,NonRestrictive,1,level,700
Freeway,Suburban,50,NonRestrictive,1,level,4203
MLHighway,Suburban,50,NonRestrictive,1,level,3462
TLHighway,Suburban,50,NonRestrictive,1,level,1249
PrArterial,Suburban,50,NonRestrictive,1,level,1080
MinArterial,Suburban,50,NonRestrictive,1,level,900
Collector,Suburban,50,NonRestrictive,1,level,850
Local,Suburban,50,NonRestrictive,1,level,800
Freeway,Rural,50,NonRestrictive,1,level,4145
MLHighway,Rural,50,NonRestrictive,1,level,3600
TLHighway,Rural,50,NonRestrictive,1,level,1249
PrArterial,Rural,50,NonRestrictive,1,level,1080
MinArterial,Rural,50,NonRestrictive,1,level,900
Collector,Rural,50,NonRestrictive,1,level,850
Local,Rural,50,NonRestrictive,1,level,800
Freeway,Urban,55,NonRestrictive,1,level,4262
MLHighway,Urban,55,NonRestrictive,1,level,3512
TLHighway,Urban,55,NonRestrictive,1,level,1249
PrArterial,Urban,55,NonRestrictive,1,level,1260
MinArterial,Urban,55,NonRestrictive,1,level,1080
Collector,Urban,55,NonRestrictive,1,level,750
Local,Urban,55,NonRestrictive,1,level,700
Freeway,Suburban,55,NonRestrictive,1,level,4203
MLHighway,Suburban,55,NonRestrictive,1,level,3635
TLHighway,Suburban,55,NonRestrictive,1,level,1249
PrArterial,Suburban,55,NonRestrictive,1,level,1080
MinArterial,Suburban,55,NonRestrictive,1,level,900
Collector,Suburban,55,NonRestrictive,1,level,850
Local,Suburban,55,NonRestrictive,1,level,800
Freeway,Rural,55,NonRestrictive,1,level,4145
MLHighway,Rural,55,NonRestrictive,1,level,3771
TLHighway,Rural,55,NonRestrictive,1,level,1249
